time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1643632899.31998658 3.00000000 3.00000000 0.79253472 2.00000000 2.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 16.00000000 0.43750000 1.00000000 0.43750000 45.00000000 2.00000000 2.00000000 1.00000000 28.00000000 1.50000000 2.00000000 0.85416667 42.00000000 2.00000000 2.00000000 1.00000000 107.00000000 0.43750000 1.00000000 0.53125000 88.00000000 2.00000000 2.00000000 1.00000000 83.00000000 0.50000000 2.00000000 0.25000000 64.00000000
1643632899.38665509 3.00000000 3.00000000 0.83984375 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 16.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 107.00000000 0.81250000 1.00000000 0.76562500 88.00000000 2.00000000 2.00000000 1.00000000 83.00000000 0.87500000 2.00000000 0.43750000 62.00000000
1643632899.45337677 3.00000000 3.00000000 0.83984375 2.00000000 2.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 15.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 25.00000000 3.00000000 3.00000000 1.00000000 49.00000000 2.00000000 2.00000000 1.00000000 106.00000000 0.81250000 1.00000000 0.76562500 87.00000000 2.00000000 2.00000000 1.00000000 75.00000000 0.87500000 2.00000000 0.43750000 64.00000000
1643632899.52004218 3.00000000 3.00000000 0.83984375 2.00000000 2.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 14.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 26.00000000 3.00000000 3.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 107.00000000 0.81250000 1.00000000 0.76562500 89.00000000 2.00000000 2.00000000 1.00000000 55.00000000 0.87500000 2.00000000 0.43750000 62.00000000
1643632899.58671021 3.00000000 3.00000000 0.81380208 1.90625000 2.00000000 0.93750000 9.00000000 2.00000000 2.00000000 1.00000000 14.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 108.00000000 0.81250000 1.00000000 0.76562500 89.00000000 1.62500000 2.00000000 0.81250000 48.00000000 0.87500000 2.00000000 0.43750000 63.00000000
1643632899.65341020 3.00000000 3.00000000 0.88020833 1.90625000 2.00000000 0.93750000 8.00000000 2.00000000 2.00000000 1.00000000 13.00000000 0.43750000 1.00000000 0.43750000 45.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 42.00000000 2.00000000 2.00000000 1.00000000 108.00000000 1.00000000 1.00000000 1.00000000 82.00000000 2.00000000 2.00000000 1.00000000 40.00000000 1.62500000 2.00000000 0.81250000 69.00000000
1643632899.72009230 3.00000000 3.00000000 0.82421875 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 12.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 28.00000000 2.00000000 2.00000000 1.00000000 40.00000000 2.00000000 2.00000000 1.00000000 108.00000000 0.81250000 1.00000000 0.76562500 82.00000000 1.62500000 2.00000000 0.81250000 31.00000000 0.87500000 2.00000000 0.43750000 72.00000000
1643632899.78677225 3.00000000 3.00000000 0.77343750 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 46.00000000 2.00000000 2.00000000 1.00000000 26.00000000 2.00000000 2.00000000 1.00000000 39.00000000 1.62500000 2.00000000 0.76562500 104.00000000 0.81250000 1.00000000 0.76562500 80.00000000 0.87500000 2.00000000 0.43750000 31.00000000 0.87500000 2.00000000 0.43750000 74.00000000
1643632899.85349607 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 47.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 37.00000000 2.00000000 2.00000000 1.00000000 106.00000000 1.00000000 1.00000000 1.00000000 89.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 67.00000000
1643632899.92017579 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 47.00000000 2.00000000 2.00000000 1.00000000 29.00000000 2.00000000 2.00000000 1.00000000 32.00000000 2.00000000 2.00000000 1.00000000 107.00000000 1.00000000 1.00000000 1.00000000 96.00000000 2.00000000 2.00000000 1.00000000 48.00000000 2.00000000 2.00000000 1.00000000 57.00000000
