time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1651579109.38080692 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 1.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 28.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 71.00000000 1.00000000 1.00000000 1.00000000 82.00000000 2.00000000 2.00000000 1.00000000 52.00000000 2.00000000 2.00000000 1.00000000 65.00000000
1651579109.44814038 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 1.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 28.00000000 1.00000000 1.00000000 1.00000000 17.00000000 2.00000000 2.00000000 1.00000000 73.00000000 1.00000000 1.00000000 1.00000000 84.00000000 2.00000000 2.00000000 1.00000000 54.00000000 2.00000000 2.00000000 1.00000000 65.00000000
1651579109.51479149 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 11.00000000 2.00000000 2.00000000 1.00000000 2.00000000 0.43750000 1.00000000 0.43750000 32.00000000 2.00000000 2.00000000 1.00000000 26.00000000 1.00000000 1.00000000 1.00000000 14.00000000 2.00000000 2.00000000 1.00000000 75.00000000 1.00000000 1.00000000 1.00000000 85.00000000 2.00000000 2.00000000 1.00000000 57.00000000 2.00000000 2.00000000 1.00000000 65.00000000
1651579109.58130431 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 31.00000000 2.00000000 2.00000000 1.00000000 29.00000000 1.00000000 1.00000000 1.00000000 14.00000000 2.00000000 2.00000000 1.00000000 84.00000000 1.00000000 1.00000000 1.00000000 84.00000000 2.00000000 2.00000000 1.00000000 55.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.64796233 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 30.00000000 2.00000000 2.00000000 1.00000000 31.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 90.00000000 1.00000000 1.00000000 1.00000000 84.00000000 2.00000000 2.00000000 1.00000000 53.00000000 2.00000000 2.00000000 1.00000000 56.00000000
1651579109.71455574 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 29.00000000 2.00000000 2.00000000 1.00000000 35.00000000 2.00000000 2.00000000 1.00000000 25.00000000 1.00000000 1.00000000 1.00000000 96.00000000 1.00000000 1.00000000 1.00000000 86.00000000 2.00000000 2.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 31.00000000
1651579109.78124022 4.00000000 4.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 3.00000000 3.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 29.00000000 2.00000000 2.00000000 1.00000000 39.00000000 2.00000000 2.00000000 1.00000000 29.00000000 1.00000000 1.00000000 1.00000000 94.00000000 1.00000000 1.00000000 1.00000000 86.00000000 2.00000000 2.00000000 1.00000000 49.00000000 1.00000000 1.00000000 1.00000000 14.00000000
1651579109.84810543 4.00000000 4.00000000 0.82421875 2.00000000 2.00000000 1.00000000 10.00000000 3.00000000 3.00000000 1.00000000 2.00000000 0.43750000 1.00000000 0.43750000 28.00000000 2.00000000 2.00000000 1.00000000 42.00000000 2.00000000 2.00000000 1.00000000 33.00000000 0.81250000 1.00000000 0.76562500 92.00000000 1.00000000 1.00000000 1.00000000 85.00000000 0.87500000 2.00000000 0.43750000 51.00000000 0.81250000 1.00000000 0.81250000 8.00000000
1651579109.91475105 4.00000000 4.00000000 0.77343750 2.00000000 2.00000000 1.00000000 10.00000000 3.00000000 3.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 30.00000000 4.00000000 4.00000000 1.00000000 45.00000000 2.00000000 2.00000000 1.00000000 39.00000000 0.81250000 1.00000000 0.76562500 89.00000000 0.81250000 1.00000000 0.76562500 84.00000000 0.87500000 2.00000000 0.43750000 52.00000000 0.43750000 1.00000000 0.43750000 13.00000000
1651579109.98138452 3.00000000 3.00000000 0.77343750 1.00000000 1.00000000 1.00000000 9.00000000 3.00000000 3.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 32.00000000 4.00000000 4.00000000 1.00000000 47.00000000 2.00000000 2.00000000 1.00000000 44.00000000 0.81250000 1.00000000 0.76562500 85.00000000 0.81250000 1.00000000 0.76562500 82.00000000 0.87500000 2.00000000 0.43750000 53.00000000 0.87500000 2.00000000 0.43750000 30.00000000
